individual,litter_id,sex,year,field_bdate,grid,growth,survived_200d,owner,Std.BD,Std.growth,Std.lynx,Std.hare.fall,Std.mustelid,Std.Cleth,z.density,z.cones,z.temp
5444,1110,F,1993,1993-07-11,KL,1.611111111,1,not yet acquired territory,1.319833881,-0.230884151,-0.996451824,-0.956266957,-0.840794304,0.246044834,-1.110458545,1.670440285,0.466524742
5492,1249,F,1994,1994-04-12,KL,2.428571429,1,not yet acquired territory,0.807585361,0.406274142,-0.706750998,-0.492131821,-0.150549851,0.22176552,0.003113322,-1.137417497,-0.559941442
5522,1103,M,1993,1993-07-07,KL,2,0,not yet acquired territory,1.210576109,0.173711865,-0.996451824,-0.956266957,-0.840794304,0.246044834,-1.110458545,1.670440285,0.466524742
5524,1106,F,1993,1993-07-07,KL,2.263157895,1,not yet acquired territory,1.210576109,0.447498643,-0.996451824,-0.956266957,-0.840794304,0.246044834,-1.110458545,1.670440285,0.466524742
5548,1083,F,1993,1993-04-15,KL,1.857142857,1,acquired territory,-1.056522651,0.025084757,-0.996451824,-0.956266957,-0.840794304,0.246044834,-1.110458545,1.670440285,0.466524742
5550,1104,M,1993,1993-04-07,KL,1.9,1,acquired territory,-1.275038194,0.06967289,-0.996451824,-0.956266957,-0.840794304,0.246044834,-1.110458545,1.670440285,0.466524742
5556,1394,M,1994,1994-03-16,SU,2.5,0,acquired territory,-1.270574885,0.895941599,-0.706750998,-0.492131821,-0.150549851,0.22176552,0.862154476,-1.214920961,-0.559941442
5560,1384,M,1994,1994-05-07,SU,1.461538462,0,not yet acquired territory,2.053461614,-0.971448962,-0.706750998,-0.492131821,-0.150549851,0.22176552,0.862154476,-1.214920961,-0.559941442
5562,1396,F,1994,1994-04-24,SU,2.2,0,acquired territory,1.222452489,0.356473215,-0.706750998,-0.492131821,-0.150549851,0.22176552,0.862154476,-1.214920961,-0.559941442
5588,1261,M,1994,1994-03-22,KL,2.875,0,acquired territory,-0.752468259,0.85630914,-0.706750998,-0.492131821,-0.150549851,0.22176552,0.003113322,-1.137417497,-0.559941442
5590,1261,F,1994,1994-03-22,KL,2.125,0,acquired territory,-0.752468259,0.100250343,-0.706750998,-0.492131821,-0.150549851,0.22176552,0.003113322,-1.137417497,-0.559941442
5596,1092,F,1993,1993-06-08,KL,1.833333333,1,acquired territory,0.418457265,0.000313573,-0.996451824,-0.956266957,-0.840794304,0.246044834,-1.110458545,1.670440285,0.466524742
5612,1109,F,1993,1993-04-23,KL,1.380952381,1,not yet acquired territory,-0.838007108,-0.470338936,-0.996451824,-0.956266957,-0.840794304,0.246044834,-1.110458545,1.670440285,0.466524742
